Lib = 0.3.0 SN = 4D02-0001-0036-0000
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Range [cm],Pitch [deg],Roll [deg],
2021/10/16 18:55:04,992.86,26.63,46.06,46.50,4.60,372.00,46.31,-34.78,
2021/10/16 19:00:03,992.82,28.27,43.76,44.50,4.64,372.00,47.36,-34.54,
2021/10/16 19:05:03,992.59,27.44,44.86,46.00,4.66,369.00,46.80,-34.02,
2021/10/16 19:10:03,992.64,27.32,45.47,46.50,4.67,376.00,46.76,-34.35,
2021/10/16 19:15:03,992.57,27.43,46.06,47.00,4.67,369.00,46.76,-34.44,
2021/10/16 19:20:03,992.43,26.92,46.60,47.50,4.67,368.00,46.74,-34.31,
2021/10/16 19:25:03,992.51,27.53,45.91,46.75,4.67,375.00,46.34,-34.31,
2021/10/16 19:30:03,992.50,31.06,42.64,43.25,4.67,364.00,46.81,-34.11,
2021/10/16 19:35:03,992.47,29.67,43.57,44.50,4.66,374.00,47.30,-34.54,
2021/10/16 19:40:03,992.44,29.19,43.96,45.00,4.55,374.00,46.56,-34.09,
2021/10/16 19:45:03,992.33,31.02,41.81,42.50,4.67,371.00,47.72,-34.54,
2021/10/16 19:50:03,992.18,32.05,40.75,41.75,4.65,375.00,46.75,-34.67,
2021/10/16 19:55:03,992.22,36.80,36.58,37.25,4.67,369.00,46.79,-34.03,
2021/10/16 20:00:03,992.24,37.54,36.45,37.00,4.65,369.00,47.60,-34.65,
2021/10/16 20:05:03,992.17,41.44,33.46,33.75,4.66,369.00,46.46,-34.19,
2021/10/16 20:10:03,992.23,42.28,32.90,33.25,4.51,369.00,47.11,-34.35,
2021/10/16 20:15:03,992.29,38.61,35.33,35.75,4.59,364.00,46.76,-34.06,
2021/10/16 20:20:03,992.37,37.22,35.95,36.50,4.65,367.00,47.22,-34.27,
2021/10/16 20:25:03,992.45,40.00,33.93,34.25,4.67,369.00,47.66,-34.08,
2021/10/16 20:30:03,992.34,48.03,28.92,29.00,4.65,370.00,47.42,-34.14,
2021/10/16 20:35:03,992.35,55.36,24.74,25.00,4.65,367.00,47.24,-34.14,
2021/10/16 20:40:03,992.39,59.09,22.84,23.25,4.64,372.00,46.66,-34.21,
2021/10/16 20:45:04,992.40,56.91,24.07,25.00,4.65,374.00,48.10,-34.14,
2021/10/16 20:50:06,992.39,54.39,25.49,26.25,4.64,371.00,46.64,-34.18,
2021/10/16 20:55:06,992.38,50.96,27.38,28.50,4.65,371.00,47.25,-33.78,
2021/10/16 21:00:06,992.47,51.29,26.96,27.75,4.65,372.00,46.43,-34.17,
2021/10/16 21:05:06,992.51,54.50,24.96,25.50,4.65,370.00,47.07,-34.20,
2021/10/16 21:10:06,992.48,59.65,22.81,23.25,4.65,375.00,47.00,-33.82,
2021/10/16 21:15:06,992.52,63.55,21.03,21.25,4.65,375.00,46.50,-34.04,
2021/10/16 21:20:06,992.61,66.07,19.75,20.25,4.65,372.00,47.66,-34.44,
2021/10/16 21:25:06,992.61,68.54,18.61,19.00,4.65,364.00,46.61,-33.75,
2021/10/16 21:30:06,992.67,70.76,17.72,18.00,4.62,375.00,47.03,-33.79,
2021/10/16 21:35:06,992.62,72.66,17.06,17.50,4.65,371.00,47.26,-33.58,
2021/10/16 21:40:06,992.70,74.14,16.59,17.00,4.65,371.00,47.01,-33.98,
2021/10/16 21:45:06,992.64,75.24,16.24,16.75,4.58,374.00,47.37,-34.48,
2021/10/16 21:50:06,992.61,76.11,15.98,16.50,4.63,372.00,47.63,-34.09,
2021/10/16 21:55:06,992.68,76.67,15.75,16.25,4.65,365.00,47.62,-34.40,
2021/10/16 22:00:06,992.66,77.19,15.52,16.00,4.63,372.00,47.26,-33.85,
2021/10/16 22:05:06,992.77,77.75,15.36,15.75,4.64,369.00,46.69,-33.67,
2021/10/16 22:10:06,992.72,78.22,15.26,15.75,4.63,371.00,47.40,-33.30,
2021/10/16 22:15:06,992.70,78.46,15.10,15.50,4.64,362.00,47.11,-33.61,
2021/10/16 22:20:06,992.70,78.76,14.87,15.25,4.63,371.00,48.35,-33.53,
2021/10/16 22:25:06,992.68,79.15,14.65,15.00,4.64,371.00,47.67,-34.04,
2021/10/16 22:30:06,992.64,79.79,14.45,15.00,4.64,371.00,47.41,-33.92,
2021/10/16 22:35:06,992.70,80.06,14.31,14.75,4.65,370.00,47.43,-33.99,
2021/10/16 22:40:06,992.68,79.63,13.96,14.50,4.64,372.00,48.55,-33.32,
2021/10/16 22:45:06,992.78,79.71,13.43,13.75,4.64,372.00,48.72,-33.88,
2021/10/16 22:50:06,992.78,80.16,12.88,13.25,4.64,370.00,47.46,-33.20,
2021/10/16 22:55:06,992.78,80.71,12.35,12.75,4.64,371.00,46.74,-34.03,
2021/10/16 23:00:06,992.82,81.23,11.86,12.25,4.63,370.00,46.83,-33.64,
