Lib = 0.3.0 SN = 4D02-0001-0036-0000
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Range [cm],Pitch [deg],Roll [deg],
2021/10/14 19:42:25,985.84,28.63,46.55,47.50,4.67,369.00,46.32,90.80,
2021/10/14 19:47:24,985.90,30.71,44.99,45.75,4.69,376.00,46.72,90.46,
2021/10/14 19:52:24,985.69,33.75,42.25,42.75,4.69,375.00,46.55,90.63,
2021/10/14 19:57:24,985.77,36.46,39.15,40.25,4.56,369.00,46.01,90.48,
2021/10/14 20:02:24,985.69,39.31,36.93,37.50,4.69,370.00,46.28,90.41,
2021/10/14 20:07:24,985.73,42.36,34.75,35.25,4.67,371.00,46.45,90.30,
2021/10/14 20:12:24,985.81,41.41,35.40,36.00,4.67,372.00,47.44,90.82,
2021/10/14 20:17:24,985.83,40.02,36.47,37.00,4.69,371.00,46.50,90.92,
2021/10/14 20:22:24,985.95,39.89,36.37,36.75,4.67,372.00,46.49,90.57,
2021/10/14 20:27:24,985.79,47.33,31.11,31.25,4.68,369.00,47.53,90.47,
2021/10/14 20:32:24,985.89,54.92,26.60,26.75,4.69,365.00,46.84,91.43,
2021/10/14 20:37:24,985.91,58.63,24.84,25.25,4.67,370.00,47.45,90.77,
2021/10/14 20:42:24,985.92,61.45,23.73,24.00,4.65,365.00,47.61,90.79,
2021/10/14 20:47:24,985.95,55.30,26.93,28.00,4.67,374.00,46.67,91.03,
2021/10/14 20:52:24,986.02,54.40,27.58,28.25,4.67,369.00,47.69,90.83,
2021/10/14 20:57:24,986.00,54.53,27.33,28.00,4.68,361.00,46.67,90.58,
2021/10/14 21:02:24,986.10,55.78,26.44,27.00,4.67,371.00,46.34,90.30,
2021/10/14 21:07:24,985.98,60.70,24.31,24.50,4.67,365.00,46.81,90.71,
2021/10/14 21:12:24,985.97,63.60,22.78,23.25,4.67,371.00,47.57,90.80,
2021/10/14 21:17:24,986.04,65.83,21.55,22.00,4.67,372.00,47.32,90.99,
