Lib = 0.3.0 SN = 4D02-0001-0036-0000
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Range [cm],Pitch [deg],Roll [deg],
2021/10/15 18:50:11,988.41,28.61,44.83,45.00,4.67,375.00,46.12,-34.42,
2021/10/15 18:55:10,988.29,30.64,41.34,42.25,4.68,370.00,46.72,-34.32,
2021/10/15 19:00:10,988.22,39.94,34.10,34.50,4.67,367.00,46.58,-34.56,
2021/10/15 19:05:10,988.19,38.57,34.09,35.25,4.67,366.00,46.53,-34.59,
2021/10/15 19:10:10,988.12,34.65,37.50,38.50,4.67,369.00,46.47,-34.53,
2021/10/15 19:15:10,988.22,31.92,40.20,40.75,4.68,374.00,46.57,-34.19,
2021/10/15 19:20:10,988.11,36.76,35.93,36.75,4.67,370.00,46.79,-34.20,
2021/10/15 19:25:10,988.08,33.51,39.22,40.00,4.66,372.00,46.65,-34.39,
2021/10/15 19:30:10,988.09,31.98,41.08,42.00,4.67,374.00,46.65,-34.72,
2021/10/15 19:35:10,988.14,29.62,43.49,44.75,4.67,369.00,45.64,-34.55,
2021/10/15 19:40:10,988.24,29.70,43.82,44.75,4.67,372.00,46.62,-34.54,
2021/10/15 19:45:10,988.17,35.94,38.71,39.00,4.65,369.00,47.27,-34.25,
2021/10/15 19:50:10,988.13,40.97,33.94,34.50,4.67,363.00,46.23,-34.31,
2021/10/15 19:55:10,988.22,47.30,29.84,30.00,4.65,368.00,46.75,-34.25,
2021/10/15 20:00:12,988.10,44.88,31.15,32.00,4.67,366.00,47.00,-34.21,
2021/10/15 20:05:12,988.14,44.11,31.79,32.25,4.67,374.00,47.42,-34.43,
2021/10/15 20:10:12,988.11,46.89,29.42,29.75,4.66,371.00,47.32,-34.13,
2021/10/15 20:15:12,988.18,41.91,32.39,33.00,4.65,370.00,47.52,-34.18,
2021/10/15 20:20:12,988.30,42.96,31.79,32.50,4.67,372.00,47.29,-34.32,
2021/10/15 20:25:12,988.21,43.29,31.10,31.50,4.67,360.00,47.64,-34.48,
2021/10/15 20:30:12,988.14,50.37,27.04,27.25,4.67,368.00,46.84,-34.49,
2021/10/15 20:35:12,988.20,55.78,23.63,24.00,4.66,372.00,48.15,-34.03,
2021/10/15 20:40:12,988.23,59.59,21.42,21.75,4.65,362.00,47.59,-34.17,
2021/10/15 20:45:12,988.24,60.52,21.20,22.00,4.65,371.00,47.49,-33.91,
2021/10/15 20:50:12,988.28,59.72,21.75,22.50,4.66,371.00,45.95,-33.70,
2021/10/15 20:55:12,988.21,56.54,23.58,24.50,4.67,371.00,47.68,-34.15,
2021/10/15 21:00:12,988.18,54.93,24.24,25.00,4.63,372.00,45.87,-33.92,
2021/10/15 21:05:12,988.41,58.71,22.13,22.50,4.65,364.00,47.39,-34.77,
2021/10/15 21:10:12,988.43,62.24,20.41,20.75,4.66,375.00,47.32,-34.08,
2021/10/15 21:15:12,988.46,64.42,19.39,19.75,4.65,375.00,47.50,-34.07,
2021/10/15 21:20:12,988.59,66.05,18.42,18.75,4.66,368.00,47.44,-34.25,
2021/10/15 21:25:12,988.58,67.46,17.62,18.00,4.65,360.00,47.29,-34.34,
2021/10/15 21:30:12,988.54,69.91,16.58,17.00,4.65,376.00,47.65,-34.03,
2021/10/15 21:35:12,988.58,72.29,15.70,16.25,4.63,375.00,47.42,-33.89,
2021/10/15 21:40:12,988.70,74.04,15.05,15.50,4.65,371.00,46.09,-33.74,
2021/10/15 21:45:12,988.71,75.39,14.55,15.00,4.65,368.00,47.48,-34.11,
2021/10/15 21:50:12,988.69,76.32,14.24,14.75,4.65,371.00,47.02,-33.58,
2021/10/15 21:55:12,988.87,76.30,14.41,14.75,4.65,369.00,47.62,-33.93,
2021/10/15 22:00:12,988.90,75.80,14.69,15.25,4.65,377.00,47.45,-34.01,
2021/10/15 22:05:12,988.96,75.45,14.78,15.25,4.65,372.00,47.70,-33.92,
2021/10/15 22:10:12,989.11,76.19,14.34,14.75,4.65,368.00,47.72,-33.39,
2021/10/15 22:15:12,989.17,77.13,13.79,14.25,4.64,363.00,47.73,-33.65,
2021/10/15 22:20:12,989.28,77.99,13.27,13.75,4.62,370.00,47.26,-33.46,
2021/10/15 22:25:12,989.39,78.83,12.81,13.25,4.66,371.00,47.48,-33.71,
2021/10/15 22:30:12,989.44,79.54,12.39,12.75,4.65,370.00,47.26,-33.79,
2021/10/15 22:35:12,989.55,80.15,12.03,12.50,4.65,369.00,47.54,-34.03,
2021/10/15 22:40:12,989.65,80.68,11.75,12.25,4.64,360.00,47.40,-33.83,
2021/10/15 22:45:12,989.69,81.10,11.51,12.00,4.65,368.00,47.61,-33.88,
2021/10/15 22:50:12,989.81,81.66,11.35,11.75,4.65,371.00,48.12,-33.96,
2021/10/15 22:55:12,989.84,82.15,11.23,11.75,4.65,372.00,46.78,-33.58,
2021/10/15 23:00:12,989.87,82.33,11.14,11.75,4.64,372.00,46.74,-33.85,
2021/10/15 23:05:12,989.95,82.61,11.07,11.50,4.64,371.00,47.23,-33.72,
2021/10/15 23:10:12,989.97,82.87,10.98,11.50,4.61,375.00,47.46,-33.81,
2021/10/15 23:15:12,990.01,83.14,10.91,11.50,4.65,372.00,47.73,-34.30,
2021/10/15 23:20:12,990.14,83.29,10.85,11.25,4.62,368.00,46.82,-33.72,
