Lib = 0.3.0 SN = 4D02-0001-0036-0000
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Range [cm],Pitch [deg],Roll [deg],
2021/08/17 21:56:04,988.89,57.59,29.28,29.25,4.73,372.00,92.33,45.59,
2021/08/17 22:01:03,988.88,54.48,29.65,30.00,4.78,372.00,91.99,45.71,
2021/08/17 22:06:03,988.89,53.50,29.74,30.00,4.76,374.00,91.80,45.81,
2021/08/17 22:11:03,988.95,53.17,29.68,30.00,4.78,372.00,91.42,45.82,
2021/08/17 22:16:03,988.98,52.87,29.65,29.75,4.78,371.00,91.53,46.33,
2021/08/17 22:21:03,988.93,52.70,29.60,29.75,4.78,372.00,91.17,45.75,
2021/08/17 22:26:03,988.99,52.78,29.42,29.75,4.76,365.00,91.51,45.70,
2021/08/17 22:31:03,988.95,52.90,29.17,29.25,4.77,371.00,91.50,45.86,
2021/08/17 22:36:03,989.00,53.00,28.98,29.25,4.76,367.00,90.51,46.12,
2021/08/17 22:41:03,988.97,52.88,28.91,29.25,4.78,369.00,92.53,45.92,
2021/08/17 22:46:03,989.00,53.04,28.70,29.00,4.78,370.00,91.48,45.52,
2021/08/17 22:51:03,989.03,53.40,28.43,28.75,4.78,370.00,92.33,46.28,
2021/08/17 22:56:03,989.06,53.53,28.22,28.50,4.76,372.00,91.48,45.92,
2021/08/17 23:01:03,989.08,53.74,28.01,28.25,4.78,374.00,92.20,45.82,
2021/08/17 23:06:03,989.07,53.98,27.77,28.00,4.78,372.00,91.32,46.24,
2021/08/17 23:11:03,989.07,54.14,27.58,28.00,4.78,370.00,91.65,45.97,
2021/08/17 23:16:03,989.04,54.34,27.35,27.50,4.77,369.00,91.94,45.97,
2021/08/17 23:21:03,989.07,54.60,27.08,27.25,4.65,370.00,92.37,45.99,
2021/08/17 23:26:03,989.14,54.89,26.79,27.00,4.77,369.00,91.55,45.80,
2021/08/17 23:31:03,989.19,55.17,26.56,26.75,4.77,374.00,91.79,45.64,
2021/08/17 23:36:03,989.16,55.27,26.38,26.75,4.79,375.00,91.39,46.59,
2021/08/17 23:41:03,989.15,55.53,26.08,26.25,4.78,368.00,92.09,46.10,
2021/08/17 23:46:03,989.19,55.86,25.78,26.00,4.77,368.00,92.26,45.87,
2021/08/17 23:51:03,989.17,56.14,25.50,25.75,4.75,375.00,91.51,45.55,
2021/08/17 23:56:03,989.20,56.37,25.26,25.50,4.77,368.00,91.84,46.03,
2021/08/18 00:01:03,989.21,56.61,25.00,25.25,4.75,372.00,92.01,45.42,
2021/08/18 00:06:03,989.27,56.87,24.74,25.00,4.78,368.00,91.54,46.06,
2021/08/18 00:11:03,989.33,57.11,24.47,24.75,4.78,370.00,92.15,45.57,
2021/08/18 00:16:03,989.46,57.36,24.22,24.25,4.78,371.00,92.05,45.82,
2021/08/18 00:21:03,989.48,57.55,24.01,24.25,4.77,374.00,91.35,46.10,
2021/08/18 00:26:03,989.57,57.75,23.76,24.00,4.78,369.00,91.13,46.04,
2021/08/18 00:31:03,989.58,58.01,23.50,23.75,4.76,372.00,91.25,46.12,
2021/08/18 00:36:03,989.62,58.24,23.23,23.50,4.78,372.00,91.50,45.84,
2021/08/18 00:41:03,989.61,58.49,22.93,23.25,4.65,370.00,91.21,45.91,
2021/08/18 00:46:03,989.66,58.75,22.63,23.00,4.78,370.00,92.50,46.62,
2021/08/18 00:51:03,989.72,59.03,22.34,22.50,4.77,361.00,92.06,46.28,
2021/08/18 00:56:03,989.73,59.30,22.07,22.25,4.78,370.00,90.97,46.05,
2021/08/18 01:01:03,989.71,59.50,21.86,22.25,4.78,370.00,92.16,46.73,
2021/08/18 01:06:03,989.70,59.64,21.67,22.00,4.76,367.00,92.32,45.66,
2021/08/18 01:11:03,989.78,59.74,21.49,21.75,4.77,369.00,92.61,46.16,
2021/08/18 01:16:03,989.81,59.84,21.31,21.50,4.78,368.00,91.58,46.16,
2021/08/18 01:21:03,989.87,59.93,21.13,21.50,4.78,371.00,92.10,46.10,
2021/08/18 01:26:03,989.92,60.03,20.95,21.25,4.74,370.00,92.40,46.00,
2021/08/18 01:31:03,989.98,60.14,20.76,21.00,4.77,366.00,91.58,45.36,
2021/08/18 01:36:03,990.03,60.24,20.59,21.00,4.77,371.00,92.15,46.27,
2021/08/18 01:41:03,990.15,60.31,20.44,20.75,4.77,367.00,91.67,46.03,
2021/08/18 01:46:03,990.22,60.36,20.28,20.50,4.78,371.00,91.82,46.05,
2021/08/18 01:51:03,990.25,60.40,20.15,20.50,4.77,371.00,92.10,46.17,
2021/08/18 01:56:03,990.47,60.44,20.03,20.25,4.78,370.00,92.23,46.36,
2021/08/18 02:01:03,990.42,60.46,19.90,20.00,4.77,370.00,92.11,46.34,
2021/08/18 02:06:03,990.45,60.51,19.76,20.00,4.78,367.00,91.26,45.68,
2021/08/18 02:11:03,990.50,60.57,19.65,20.00,4.77,375.00,92.10,46.33,
2021/08/18 02:16:03,990.64,60.61,19.53,19.75,4.78,371.00,91.46,46.27,
2021/08/18 02:21:03,990.78,60.65,19.42,19.75,4.77,371.00,92.22,46.33,
2021/08/18 02:26:03,990.80,60.69,19.32,19.75,4.78,371.00,2.15,90.48,
2021/08/18 02:31:03,990.85,60.73,19.21,19.50,4.77,371.00,2.51,90.88,
2021/08/18 02:36:03,990.85,60.78,19.13,19.50,4.66,371.00,2.27,91.09,
2021/08/18 02:41:03,990.88,60.80,19.04,19.25,4.78,370.00,2.47,91.02,
2021/08/18 02:46:03,990.92,60.82,18.93,19.25,4.77,372.00,1.63,91.06,
2021/08/18 02:51:03,990.90,60.85,18.83,19.00,4.77,371.00,1.76,91.52,
2021/08/18 02:56:03,990.95,60.90,18.71,19.00,4.77,372.00,1.94,90.73,
2021/08/18 03:01:03,991.01,60.95,18.60,19.00,4.78,368.00,3.20,91.17,
2021/08/18 03:06:03,991.09,61.02,18.51,18.75,4.76,368.00,1.74,91.17,
2021/08/18 03:11:03,991.13,61.06,18.41,18.75,4.76,371.00,1.35,90.61,
2021/08/18 03:16:03,991.14,61.10,18.32,18.50,4.77,370.00,2.27,91.01,
2021/08/18 03:21:03,991.16,61.12,18.22,18.50,4.78,375.00,2.27,91.24,
2021/08/18 03:26:03,991.13,61.17,18.12,18.50,4.76,369.00,2.27,90.99,
2021/08/18 03:31:03,991.10,61.22,18.02,18.25,4.77,374.00,1.47,90.73,
2021/08/18 03:36:03,991.12,61.27,17.94,18.25,4.78,375.00,1.69,90.72,
2021/08/18 03:41:03,991.16,61.29,17.84,18.25,4.77,371.00,2.67,90.79,
2021/08/18 03:46:03,991.12,61.35,17.76,18.00,4.65,372.00,3.31,90.77,
2021/08/18 03:51:03,991.14,61.40,17.66,18.00,4.76,371.00,2.34,90.96,
2021/08/18 03:56:03,991.07,61.46,17.59,17.75,4.77,370.00,2.02,91.00,
2021/08/18 04:01:03,991.12,61.49,17.53,17.75,4.78,375.00,2.39,91.07,
2021/08/18 04:06:03,991.07,61.50,17.46,17.75,4.77,365.00,1.94,90.50,
2021/08/18 04:11:03,991.12,61.54,17.40,17.75,4.78,369.00,1.50,90.71,
2021/08/18 04:16:03,991.18,61.58,17.36,17.75,4.77,371.00,2.35,91.19,
2021/08/18 04:21:03,991.24,61.56,17.31,17.75,4.77,372.00,1.40,90.99,
2021/08/18 04:26:03,991.26,61.58,17.26,17.50,4.77,374.00,2.98,90.79,
2021/08/18 04:31:03,991.22,61.59,17.22,17.50,4.75,372.00,92.05,46.13,
2021/08/18 04:36:03,991.31,61.60,17.18,17.50,4.77,374.00,92.53,46.14,
2021/08/18 04:41:03,991.23,61.63,17.13,17.50,4.77,369.00,92.15,46.39,
2021/08/18 04:46:03,991.24,61.65,17.07,17.25,4.78,371.00,92.22,45.77,
2021/08/18 04:51:03,991.34,61.67,16.99,17.25,4.76,371.00,92.26,46.25,
2021/08/18 04:56:03,991.38,61.73,16.89,17.25,4.77,371.00,91.95,46.14,
2021/08/18 05:01:03,991.39,61.81,16.80,17.25,4.77,371.00,91.29,46.49,
2021/08/18 05:06:03,991.44,61.90,16.73,17.00,4.78,368.00,92.10,45.76,
2021/08/18 05:11:03,991.44,61.93,16.67,17.00,4.74,365.00,92.51,45.77,
2021/08/18 05:16:03,991.42,61.96,16.61,17.00,4.78,369.00,92.23,46.00,
2021/08/18 05:21:03,991.49,61.99,16.55,16.75,4.77,370.00,92.18,46.09,
2021/08/18 05:26:03,991.53,62.03,16.49,16.75,4.78,375.00,91.33,45.95,
2021/08/18 05:31:03,991.51,62.05,16.44,16.75,4.77,371.00,91.67,45.86,
2021/08/18 05:36:03,991.57,62.06,16.38,16.75,4.77,374.00,92.39,46.51,
2021/08/18 05:41:03,991.63,62.08,16.32,16.50,4.76,371.00,92.23,46.00,
2021/08/18 05:46:03,991.55,62.11,16.24,16.75,4.77,370.00,91.41,46.38,
2021/08/18 05:51:03,991.64,62.16,16.17,16.50,4.76,369.00,91.47,46.55,
2021/08/18 05:56:03,991.70,62.20,16.10,16.50,4.78,372.00,92.12,46.74,
2021/08/18 06:01:03,991.72,62.26,16.03,16.25,4.69,370.00,91.73,46.31,
2021/08/18 06:06:03,991.68,62.31,15.96,16.25,4.77,372.00,92.31,46.12,
2021/08/18 06:11:03,991.66,62.34,15.91,16.25,4.77,371.00,92.26,46.16,
2021/08/18 06:16:03,991.64,62.37,15.85,16.25,4.76,370.00,92.20,46.13,
2021/08/18 06:21:03,991.68,62.41,15.79,16.25,4.75,371.00,92.66,45.80,
2021/08/18 06:26:03,991.71,62.47,15.73,16.25,4.76,371.00,92.45,46.57,
2021/08/18 06:31:03,991.65,62.49,15.67,16.00,4.76,368.00,92.20,46.29,
2021/08/18 06:36:03,991.65,62.50,15.62,16.00,4.78,374.00,92.17,46.11,
2021/08/18 06:41:03,991.78,62.53,15.58,16.00,4.75,371.00,92.33,46.08,
2021/08/18 06:46:03,991.90,62.57,15.55,15.75,4.77,368.00,92.49,45.63,
2021/08/18 06:51:03,991.92,62.57,15.52,16.00,4.76,370.00,93.22,46.27,
2021/08/18 06:56:03,991.92,62.55,15.51,15.75,4.78,371.00,92.35,46.14,
2021/08/18 07:01:03,991.98,62.57,15.48,15.75,4.77,368.00,92.60,45.86,
2021/08/18 07:06:03,992.04,62.58,15.47,15.75,4.77,359.00,91.90,46.06,
2021/08/18 07:11:03,992.03,62.58,15.45,15.75,4.77,375.00,93.00,46.01,
2021/08/18 07:16:03,992.09,62.57,15.44,15.75,4.78,365.00,92.02,46.36,
2021/08/18 07:21:03,992.06,62.56,15.42,15.75,4.67,371.00,91.59,46.23,
2021/08/18 07:26:03,992.04,62.58,15.41,15.75,4.77,369.00,91.73,45.81,
2021/08/18 07:31:03,992.06,62.57,15.40,15.75,4.72,371.00,91.54,46.34,
2021/08/18 07:36:03,992.11,62.56,15.39,15.75,4.76,367.00,92.23,45.77,
2021/08/18 07:41:03,992.07,62.56,15.37,15.75,4.77,360.00,92.59,45.87,
2021/08/18 07:46:03,992.10,62.58,15.33,15.75,4.78,367.00,91.82,46.56,
2021/08/18 07:51:03,992.18,62.63,15.28,15.50,4.77,371.00,92.36,45.96,
2021/08/18 07:56:03,992.13,62.66,15.26,15.75,4.77,367.00,92.23,45.77,
2021/08/18 08:01:03,992.28,62.70,15.21,15.50,4.77,361.00,92.26,46.27,
2021/08/18 08:06:04,992.38,62.75,15.18,15.50,4.77,371.00,91.70,46.33,
2021/08/18 08:11:04,992.38,62.74,15.18,15.50,4.76,371.00,91.30,46.33,
2021/08/18 08:16:06,992.35,62.73,15.15,15.50,4.64,374.00,92.10,46.13,
2021/08/18 08:21:06,992.31,62.75,15.10,15.50,4.77,371.00,92.97,45.63,
2021/08/18 08:26:06,992.31,62.83,15.03,15.50,4.77,372.00,92.35,45.81,
2021/08/18 08:31:06,992.36,62.87,15.01,15.50,4.78,375.00,92.26,45.71,
2021/08/18 08:36:06,992.41,62.88,15.00,15.25,4.77,372.00,91.99,46.05,
2021/08/18 08:41:06,992.43,62.87,14.95,15.25,4.76,372.00,91.71,46.19,
2021/08/18 08:46:06,992.46,62.93,14.88,15.25,4.76,370.00,92.07,45.87,
2021/08/18 08:51:06,992.45,62.96,14.81,15.25,4.77,375.00,92.05,46.28,
2021/08/18 08:56:06,992.49,63.05,14.73,15.25,4.77,371.00,92.10,45.82,
2021/08/18 09:01:06,992.56,63.10,14.68,15.00,4.78,370.00,92.30,46.54,
2021/08/18 09:06:06,992.57,63.18,14.63,15.00,4.77,371.00,92.10,46.16,
2021/08/18 09:11:06,992.55,63.21,14.59,15.00,4.77,365.00,92.51,46.05,
2021/08/18 09:16:06,992.69,63.22,14.56,15.00,4.77,372.00,93.18,46.68,
2021/08/18 09:21:06,992.60,63.25,14.53,14.75,4.76,371.00,91.35,46.61,
2021/08/18 09:26:06,992.68,63.27,14.51,14.75,4.76,365.00,93.19,46.26,
2021/08/18 09:31:06,992.71,63.26,14.48,15.00,4.76,371.00,92.08,46.26,
2021/08/18 09:36:06,992.75,63.25,14.43,14.75,4.77,372.00,91.74,46.43,
2021/08/18 09:41:06,992.75,63.29,14.37,14.75,4.78,363.00,92.16,46.11,
2021/08/18 09:46:06,992.78,63.36,14.29,14.75,4.65,369.00,91.47,45.88,
2021/08/18 09:51:06,992.77,63.43,14.25,14.75,4.76,371.00,92.63,45.98,
2021/08/18 09:56:06,992.77,63.47,14.22,14.50,4.77,371.00,91.57,46.09,
2021/08/18 10:01:06,992.82,63.48,14.19,14.50,4.76,374.00,93.09,45.64,
2021/08/18 10:06:06,992.85,63.51,14.16,14.50,4.76,375.00,92.41,46.12,
2021/08/18 10:11:06,992.81,63.51,14.13,14.50,4.64,365.00,92.23,46.06,
2021/08/18 10:16:06,992.95,63.52,14.09,14.50,4.72,372.00,92.75,46.06,
2021/08/18 10:21:06,992.92,63.56,14.04,14.50,4.77,372.00,91.82,45.94,
2021/08/18 10:26:06,992.92,63.57,13.99,14.50,4.71,371.00,92.01,46.37,
2021/08/18 10:31:06,992.95,63.65,13.96,14.25,4.71,375.00,92.13,46.20,
2021/08/18 10:36:06,993.07,63.64,13.91,14.25,4.77,375.00,92.57,45.92,
2021/08/18 10:41:06,993.15,63.68,13.88,14.25,4.76,372.00,92.52,46.06,
2021/08/18 10:46:06,993.18,63.73,13.83,14.25,4.76,372.00,92.00,45.75,
2021/08/18 10:51:06,993.24,63.75,13.81,14.25,4.76,366.00,92.42,45.95,
2021/08/18 10:56:06,993.24,63.77,13.78,14.25,4.77,370.00,92.03,46.27,
2021/08/18 11:01:06,993.27,63.78,13.75,14.25,4.73,372.00,92.38,45.90,
2021/08/18 11:06:06,993.32,63.77,13.75,14.25,4.76,367.00,92.26,46.66,
2021/08/18 11:11:06,993.24,63.72,13.75,14.25,4.77,367.00,91.59,46.17,
2021/08/18 11:16:06,993.43,63.70,13.73,14.00,4.77,372.00,92.20,46.04,
2021/08/18 11:21:06,993.33,63.68,13.74,14.00,4.74,375.00,92.59,46.27,
2021/08/18 11:26:06,993.49,63.60,13.74,14.00,4.78,372.00,92.13,46.24,
2021/08/18 11:31:06,993.49,63.51,13.78,14.25,4.74,368.00,92.05,46.02,
2021/08/18 11:36:06,993.53,63.38,13.81,14.25,4.73,359.00,92.38,46.22,
2021/08/18 11:41:06,993.59,63.28,13.83,14.25,4.77,374.00,92.21,46.16,
2021/08/18 11:46:06,993.64,63.18,13.86,14.25,4.78,372.00,92.41,46.69,
2021/08/18 11:51:06,993.69,63.08,13.90,14.25,4.78,372.00,92.35,46.29,
2021/08/18 11:56:06,993.74,62.97,13.94,14.25,4.76,365.00,91.30,46.05,
2021/08/18 12:01:06,993.81,62.83,14.03,14.50,4.74,371.00,91.53,45.76,
2021/08/18 12:06:06,993.87,62.60,14.16,14.50,4.77,365.00,92.03,46.01,
2021/08/18 12:11:06,993.85,62.37,14.30,14.75,4.77,371.00,92.39,45.36,
2021/08/18 12:16:06,993.84,62.14,14.46,14.75,4.73,370.00,92.89,45.99,
2021/08/18 12:21:06,993.88,61.84,14.64,15.00,4.78,372.00,91.87,45.93,
2021/08/18 12:26:06,993.89,61.47,14.88,15.25,4.76,368.00,92.73,46.14,
2021/08/18 12:31:06,993.90,60.97,15.17,15.75,4.77,372.00,92.36,46.24,
2021/08/18 12:36:06,993.93,60.53,15.46,16.00,4.76,372.00,92.06,46.20,
2021/08/18 12:41:06,993.91,60.27,15.68,16.25,4.77,372.00,92.20,45.99,
2021/08/18 12:46:06,993.99,60.19,15.83,16.25,4.76,372.00,92.25,46.29,
2021/08/18 12:51:06,994.04,60.03,16.01,16.50,4.78,371.00,91.78,46.03,
2021/08/18 12:56:06,994.05,59.85,16.21,16.50,4.74,365.00,92.66,46.10,
2021/08/18 13:01:06,994.00,59.30,16.61,17.00,4.78,366.00,91.57,46.21,
2021/08/18 13:06:06,994.08,59.05,16.83,17.25,4.77,369.00,92.43,46.02,
2021/08/18 13:11:06,994.09,58.78,17.08,17.50,4.76,369.00,92.67,46.45,
2021/08/18 13:16:06,994.08,58.49,17.35,17.75,4.76,367.00,90.61,46.15,
2021/08/18 13:21:06,993.97,58.29,17.59,18.00,4.75,372.00,92.51,46.11,
2021/08/18 13:26:06,994.02,58.05,17.85,18.25,4.78,369.00,92.13,46.18,
2021/08/18 13:31:06,993.91,55.50,19.24,19.75,4.74,374.00,91.58,46.78,
2021/08/18 13:36:06,993.97,55.43,19.56,20.00,4.78,371.00,92.54,46.18,
2021/08/18 13:41:06,994.01,55.99,19.52,20.00,4.77,372.00,93.28,46.18,
2021/08/18 13:46:06,993.97,55.80,19.80,20.25,4.77,369.00,92.44,45.65,
2021/08/18 13:51:06,993.94,52.90,21.51,22.00,4.78,372.00,91.83,46.63,
2021/08/18 13:56:06,993.99,49.49,23.76,24.25,4.78,371.00,92.40,46.02,
2021/08/18 14:01:06,994.03,50.96,23.48,24.00,4.76,367.00,91.40,46.32,
2021/08/18 14:06:06,994.03,51.09,23.72,24.00,4.77,370.00,91.92,46.48,
2021/08/18 14:11:06,993.97,50.61,24.23,24.75,4.78,370.00,92.18,46.00,
2021/08/18 14:16:06,994.00,51.80,23.89,24.25,4.78,369.00,91.15,46.76,
2021/08/18 14:21:06,994.06,49.45,25.26,25.75,4.77,374.00,91.32,45.91,
2021/08/18 14:26:06,993.95,42.15,29.63,30.00,4.78,368.00,91.15,46.18,
2021/08/18 14:31:06,994.02,34.35,35.80,36.25,4.78,367.00,90.96,46.45,
2021/08/18 14:36:06,993.98,30.54,40.10,40.50,4.78,364.00,91.20,45.89,
2021/08/18 14:41:06,993.98,27.88,43.74,44.25,4.77,371.00,91.41,45.65,
2021/08/18 14:46:06,993.92,26.24,46.69,47.00,4.78,364.00,91.17,46.03,
2021/08/18 14:51:06,994.02,25.11,49.13,49.50,4.78,374.00,90.10,45.64,
2021/08/18 14:56:06,994.05,24.65,50.61,51.25,4.78,372.00,90.67,45.59,
2021/08/18 15:01:06,993.87,23.75,52.62,53.00,4.78,370.00,91.18,45.64,
2021/08/18 15:06:06,993.91,23.31,53.99,54.50,4.78,375.00,90.50,45.42,
2021/08/18 15:11:06,993.74,26.24,51.91,52.25,4.78,367.00,92.08,45.36,
2021/08/18 15:16:06,993.72,36.09,44.17,44.25,4.78,375.00,91.35,45.65,
2021/08/18 15:21:06,993.67,42.85,39.49,39.75,4.78,370.00,91.43,45.60,
2021/08/18 15:26:06,993.70,42.29,39.15,39.50,4.77,371.00,91.76,45.54,
2021/08/18 15:31:06,993.62,38.11,41.43,41.75,4.77,375.00,91.18,45.93,
2021/08/18 15:36:06,993.64,39.85,40.12,40.50,4.77,368.00,92.42,46.07,
