Lib = 0.3.0 SN = 4D02-0001-0036-0000
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Range [cm],Pitch [deg],Roll [deg],
2021/10/12 16:12:37,989.08,63.07,20.05,20.25,4.68,368.00,91.21,46.52,
2021/10/12 16:17:36,989.13,62.82,20.28,20.75,4.70,371.00,93.40,46.30,
2021/10/12 16:22:36,989.01,63.02,20.76,21.25,4.68,371.00,92.42,46.15,
2021/10/12 16:27:36,989.01,63.29,21.02,21.50,4.70,371.00,91.66,46.46,
2021/10/12 16:32:36,989.07,63.57,21.19,21.75,4.56,370.00,92.24,45.98,
2021/10/12 16:37:36,989.00,63.60,21.42,22.00,4.68,371.00,92.45,46.22,
2021/10/12 16:42:38,989.05,63.47,21.64,22.25,4.70,371.00,92.22,46.00,
2021/10/12 16:47:38,989.10,64.20,21.51,22.00,4.70,374.00,92.35,45.89,
2021/10/12 16:52:38,989.07,64.43,21.55,22.25,4.69,371.00,92.42,46.81,
2021/10/12 16:57:38,989.07,64.57,21.59,22.25,4.69,366.00,92.91,46.06,
2021/10/12 17:02:38,989.11,64.30,21.82,22.50,4.70,372.00,92.41,46.29,
2021/10/12 17:07:38,989.05,63.13,22.46,23.25,4.56,369.00,92.73,46.28,
2021/10/12 17:12:38,989.07,62.42,22.91,23.50,4.69,372.00,91.81,45.76,
2021/10/12 17:17:38,989.15,62.50,23.05,23.50,4.71,366.00,91.02,46.11,
2021/10/12 17:22:38,989.11,64.33,22.41,23.00,4.70,361.00,92.49,46.36,
2021/10/12 17:27:38,989.08,63.06,23.06,23.75,4.58,372.00,92.43,45.88,
2021/10/12 17:32:38,989.08,61.66,23.73,24.25,4.70,369.00,92.60,46.05,
2021/10/12 17:37:38,989.07,60.27,24.47,25.00,4.71,369.00,92.57,46.20,
2021/10/12 17:42:38,989.13,60.93,24.38,25.00,4.70,371.00,92.25,46.27,
2021/10/12 17:47:38,989.04,61.60,24.18,24.75,4.71,362.00,92.07,46.12,
2021/10/12 17:52:38,989.15,61.01,24.59,25.25,4.69,375.00,92.10,45.99,
2021/10/12 17:57:38,989.08,59.00,25.63,26.25,4.68,364.00,91.93,46.05,
2021/10/12 18:02:38,989.11,57.25,26.67,27.25,4.69,374.00,92.20,46.04,
2021/10/12 18:07:38,988.95,52.85,29.16,29.75,4.69,371.00,92.52,46.49,
2021/10/12 18:12:38,988.95,48.38,31.91,32.75,4.71,372.00,92.35,45.79,
2021/10/12 18:17:38,988.85,50.21,31.40,32.00,4.70,372.00,91.58,45.93,
2021/10/12 18:22:38,988.92,49.96,31.85,32.50,4.70,370.00,92.50,45.90,
2021/10/12 18:27:38,988.94,50.45,31.88,32.50,4.70,376.00,92.56,46.31,
2021/10/12 18:32:38,988.91,53.72,30.39,30.75,4.71,361.00,91.93,45.82,
2021/10/12 18:37:38,989.04,59.36,27.60,28.00,4.69,369.00,92.30,46.23,
2021/10/12 18:42:38,989.08,62.65,25.89,26.25,4.70,370.00,91.57,45.70,
2021/10/12 18:47:38,989.02,64.50,24.91,25.25,4.70,370.00,92.49,45.82,
2021/10/12 18:52:38,989.13,66.29,24.03,24.50,4.70,370.00,93.22,45.83,
2021/10/12 18:57:38,989.20,66.82,23.69,24.00,4.69,370.00,91.80,45.98,
2021/10/12 19:02:38,989.21,66.54,23.70,24.25,4.71,371.00,92.44,45.99,
2021/10/12 19:07:38,989.25,67.04,23.45,24.00,4.70,368.00,92.18,46.86,
