Lib = 0.3.0 SN = 4D02-0001-0036-0000
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Range [cm],Pitch [deg],Roll [deg],
2021/08/17 14:07:23,991.53,59.41,23.54,23.75,3.67,371.00,91.72,1.06,
2021/08/17 14:07:34,991.65,60.58,23.55,23.75,3.60,369.00,92.53,1.13,
2021/08/17 14:08:00,991.55,60.03,23.41,23.75,3.61,372.00,93.23,0.97,
2021/08/17 14:09:00,991.53,59.32,23.26,23.50,3.40,360.00,92.39,1.31,
2021/08/17 14:10:00,991.52,58.67,23.18,23.50,3.38,371.00,91.50,1.12,
2021/08/17 14:11:00,991.50,58.28,23.10,23.50,3.40,362.00,92.25,1.49,
2021/08/17 14:12:00,991.54,58.01,23.03,23.50,3.56,368.00,92.17,1.52,
2021/08/17 14:13:00,991.55,57.75,22.95,23.25,3.42,372.00,92.61,0.99,
2021/08/17 14:14:00,991.46,57.58,22.89,23.25,3.45,370.00,93.03,0.74,
2021/08/17 14:15:00,991.46,62.94,22.63,23.00,3.40,370.00,92.51,0.86,
2021/08/17 14:16:00,991.50,62.64,22.46,22.75,3.40,368.00,92.31,1.33,
2021/08/17 14:17:00,991.54,62.18,22.46,23.00,3.41,370.00,91.38,0.84,
2021/08/17 14:18:00,991.45,61.61,22.50,23.00,3.42,371.00,92.41,1.24,
2021/08/17 14:19:00,991.47,61.04,22.56,23.00,3.40,370.00,92.47,0.90,
2021/08/17 14:20:00,991.45,60.18,22.78,23.25,3.40,370.00,91.84,1.21,
2021/08/17 14:21:00,991.48,58.69,23.31,23.75,3.40,368.00,91.77,1.09,
2021/08/17 14:22:00,991.47,57.64,23.68,24.25,3.38,372.00,92.22,1.09,
2021/08/17 14:23:00,991.42,56.73,24.05,24.50,3.52,372.00,92.20,1.07,
2021/08/17 14:24:00,991.45,55.39,24.64,25.25,3.41,370.00,92.25,0.85,
2021/08/17 14:25:00,991.46,53.54,25.49,26.00,3.52,357.00,92.83,0.78,
2021/08/17 14:26:00,991.46,50.89,26.77,27.50,3.40,371.00,92.16,0.51,
2021/08/17 14:27:00,991.44,48.38,28.08,28.75,3.57,360.00,91.87,0.61,
2021/08/17 14:28:00,991.47,46.15,29.31,29.75,3.43,375.00,91.82,1.25,
2021/08/17 14:29:00,991.48,44.19,30.49,31.00,3.59,369.00,91.20,0.86,
2021/08/17 14:30:00,991.48,42.47,31.61,32.25,3.41,367.00,91.75,0.88,
2021/08/17 14:31:00,991.42,41.12,32.58,33.00,3.42,366.00,91.55,0.81,
2021/08/17 14:32:00,991.53,40.21,33.30,33.75,3.64,368.00,91.43,1.22,
2021/08/17 14:33:00,991.55,39.38,33.97,34.50,3.65,370.00,92.27,0.82,
2021/08/17 14:34:00,991.46,38.44,34.75,35.25,3.64,369.00,92.15,1.19,
2021/08/17 14:35:00,991.43,37.42,35.58,36.00,3.44,370.00,91.80,0.73,
2021/08/17 14:36:00,991.48,36.50,36.36,36.75,3.47,368.00,91.90,1.01,
2021/08/17 14:37:00,991.43,35.67,37.11,37.75,3.64,365.00,92.11,0.74,
2021/08/17 14:38:00,991.55,34.94,37.83,38.25,3.43,368.00,91.58,0.82,
2021/08/17 14:39:00,991.54,34.29,38.54,39.00,3.63,376.00,92.12,1.15,
2021/08/17 14:40:00,991.41,33.67,39.22,39.75,3.45,363.00,91.55,0.50,
2021/08/17 14:41:00,991.49,33.07,39.88,40.25,3.45,370.00,92.06,0.97,
2021/08/17 14:42:00,991.52,32.51,40.50,41.00,3.64,370.00,91.34,0.96,
2021/08/17 14:43:00,991.47,32.02,41.06,41.50,3.64,370.00,90.95,0.90,
2021/08/17 14:44:00,991.52,31.62,41.54,42.00,3.45,371.00,91.49,0.92,
2021/08/17 14:45:00,991.49,31.32,42.02,42.50,3.45,367.00,91.35,0.68,
2021/08/17 14:46:00,991.46,30.98,42.50,43.00,3.45,368.00,91.59,1.14,
2021/08/17 14:47:00,991.46,30.68,42.97,43.50,3.45,370.00,91.38,0.89,
2021/08/17 14:48:00,991.47,30.42,43.40,43.75,3.45,366.00,91.33,0.73,
2021/08/17 14:49:00,991.41,30.10,43.84,44.25,3.65,366.00,91.11,0.95,
2021/08/17 14:50:00,991.34,29.83,44.20,44.75,3.46,374.00,90.60,0.50,
2021/08/17 14:51:00,991.41,29.57,44.59,45.00,3.66,367.00,90.44,0.79,
2021/08/17 14:52:00,991.38,29.33,45.00,45.50,3.45,371.00,91.77,1.17,
2021/08/17 14:53:00,991.34,29.13,45.37,45.75,3.46,363.00,92.31,0.68,
2021/08/17 14:54:00,991.36,28.83,45.79,46.25,3.64,369.00,91.51,0.84,
2021/08/17 14:55:00,991.38,28.65,46.15,46.50,3.47,374.00,92.24,0.75,
2021/08/17 14:56:00,991.40,28.55,46.41,46.75,3.66,367.00,91.40,0.73,
2021/08/17 14:57:00,991.39,28.34,46.73,47.25,3.47,370.00,91.35,1.02,
2021/08/17 14:58:00,991.44,28.20,47.01,47.50,3.43,374.00,91.69,0.79,
2021/08/17 14:59:00,991.37,28.02,47.30,47.75,3.47,366.00,91.51,0.68,
2021/08/17 15:00:00,991.35,27.84,47.53,48.00,3.55,370.00,91.47,1.02,
2021/08/17 15:01:00,991.38,27.74,47.73,48.25,3.62,371.00,91.16,0.67,
2021/08/17 15:02:00,991.43,27.63,47.96,48.50,3.46,369.00,91.42,0.63,
2021/08/17 15:03:00,991.42,27.50,48.27,48.75,3.44,367.00,91.35,1.25,
2021/08/17 15:04:00,991.39,27.37,48.58,49.25,3.47,369.00,91.31,0.57,
2021/08/17 15:05:00,991.36,27.18,48.92,49.50,3.66,371.00,91.14,0.74,
2021/08/17 15:06:00,991.33,27.03,49.18,49.75,3.66,371.00,90.51,0.74,
2021/08/17 15:07:00,991.33,26.87,49.44,50.00,3.63,372.00,91.11,0.67,
2021/08/17 15:08:00,991.38,27.19,49.27,49.75,3.48,367.00,91.62,0.64,
2021/08/17 15:09:00,991.36,28.21,48.48,48.75,3.66,371.00,90.61,0.90,
2021/08/17 15:10:00,991.39,29.05,47.82,48.25,3.65,358.00,91.58,0.28,
2021/08/17 15:11:00,991.31,29.53,47.47,47.75,3.45,375.00,91.12,1.07,
2021/08/17 15:12:00,991.27,30.92,46.41,46.75,3.50,367.00,91.31,0.57,
2021/08/17 15:13:00,991.27,31.56,45.93,46.25,3.48,372.00,91.35,0.85,
2021/08/17 15:14:00,991.26,33.41,44.56,44.75,3.49,372.00,90.60,0.39,
2021/08/17 15:15:00,991.28,35.42,43.12,43.25,3.60,363.00,90.33,0.45,
2021/08/17 15:16:00,991.19,37.20,41.86,42.00,3.46,366.00,91.34,0.90,
2021/08/17 15:17:00,991.18,39.03,40.65,40.75,3.63,369.00,91.06,0.96,
2021/08/17 15:18:00,991.20,40.72,39.57,39.75,3.46,368.00,91.29,0.85,
2021/08/17 15:19:00,991.21,42.28,38.60,38.75,3.47,372.00,91.58,0.40,
2021/08/17 15:20:00,991.27,43.59,37.78,38.00,3.47,372.00,90.27,0.74,
2021/08/17 15:21:00,991.22,44.72,37.06,37.25,3.67,370.00,2.26,0.51,
2021/08/17 15:22:00,991.19,45.69,36.45,36.75,3.47,371.00,1.54,0.69,
2021/08/17 15:23:00,991.19,46.20,36.07,36.25,3.48,369.00,1.69,1.29,
2021/08/17 15:24:00,991.26,46.52,35.82,36.25,3.46,366.00,2.01,0.75,
2021/08/17 15:25:00,991.26,46.56,35.72,36.25,3.64,372.00,2.58,0.73,
2021/08/17 15:26:00,991.23,46.03,35.91,36.25,3.48,372.00,1.58,0.51,
2021/08/17 15:27:00,991.24,45.86,35.97,36.50,3.48,370.00,1.55,0.63,
2021/08/17 15:28:00,991.21,44.46,36.70,37.25,3.45,366.00,0.57,0.63,
2021/08/17 15:29:00,991.27,42.38,37.82,38.50,3.45,368.00,90.95,0.57,
2021/08/17 15:30:00,991.20,40.75,38.73,39.25,3.45,364.00,91.21,0.81,
2021/08/17 15:31:00,991.22,39.53,39.50,40.00,3.46,374.00,91.75,0.45,
2021/08/17 15:32:00,991.25,39.02,39.86,40.25,3.47,372.00,91.13,1.03,
2021/08/17 15:33:00,991.24,38.86,39.94,40.50,3.47,372.00,91.58,0.51,
2021/08/17 15:34:00,991.17,39.66,39.45,39.75,3.48,374.00,91.30,0.40,
2021/08/17 15:35:00,991.24,40.20,39.14,39.50,3.48,372.00,91.47,1.03,
2021/08/17 15:36:00,991.27,41.31,38.51,38.75,3.50,370.00,91.45,0.79,
2021/08/17 15:37:00,991.16,41.91,38.16,38.50,3.66,370.00,91.30,0.74,
2021/08/17 15:38:00,991.20,42.51,37.80,38.00,3.48,371.00,91.18,1.02,
2021/08/17 15:39:00,991.20,42.80,37.62,38.00,3.48,367.00,91.60,1.03,
2021/08/17 15:40:00,991.10,43.10,37.36,37.75,3.48,372.00,91.44,1.33,
2021/08/17 15:41:00,991.11,44.39,36.64,37.00,3.48,370.00,91.24,0.62,
2021/08/17 15:42:00,991.14,45.53,35.99,36.25,3.48,367.00,92.35,0.40,
2021/08/17 15:43:00,991.09,46.56,35.38,35.50,3.45,371.00,91.53,0.91,
2021/08/17 15:44:00,991.17,47.36,34.89,35.00,3.47,370.00,91.23,0.73,
2021/08/17 15:45:00,991.17,48.16,34.43,34.75,3.50,369.00,91.42,0.51,
2021/08/17 15:46:00,991.18,49.01,33.95,34.25,3.47,374.00,91.00,0.34,
2021/08/17 15:47:00,991.16,49.76,33.51,33.75,3.65,371.00,92.06,0.40,
2021/08/17 15:48:00,991.21,50.40,33.12,33.25,3.47,363.00,91.76,0.46,
2021/08/17 15:49:00,991.15,50.98,32.78,33.00,3.64,378.00,92.13,0.68,
2021/08/17 15:50:00,991.14,51.30,32.57,33.00,3.47,369.00,92.29,1.20,
2021/08/17 15:51:00,991.16,51.55,32.37,32.75,3.62,371.00,91.24,0.74,
2021/08/17 15:52:00,991.17,51.90,32.14,32.50,3.45,374.00,91.25,0.11,
2021/08/17 15:53:00,991.17,52.20,31.97,32.25,3.46,369.00,91.33,0.81,
