Lib = 0.3.0 SN = 4D02-0001-0036-0000
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Range [cm],Pitch [deg],Roll [deg],
2022/05/26 21:39:37,986.85,71.55,15.12,15.50,4.07,369.00,46.81,-34.07,
2022/05/26 21:44:36,986.96,80.21,14.47,15.00,4.10,370.00,47.12,-33.98,
2022/05/26 21:49:36,987.08,82.67,14.32,14.75,4.10,369.00,45.82,-33.75,
2022/05/26 21:54:36,986.96,83.71,14.28,14.75,4.09,370.00,46.54,-33.89,
2022/05/26 21:59:36,987.10,84.49,14.16,14.75,4.10,371.00,46.70,-33.61,
2022/05/26 22:04:36,987.15,84.98,14.07,14.75,4.10,372.00,46.90,-33.80,
2022/05/26 22:09:36,987.28,85.50,13.95,14.50,4.07,370.00,46.60,-33.53,
2022/05/26 22:14:36,987.33,85.86,13.91,14.50,4.10,372.00,46.51,-33.39,
2022/05/26 22:19:36,987.40,86.09,13.82,14.50,4.10,359.00,46.53,-33.77,
2022/05/26 22:24:36,987.36,86.51,13.64,14.25,4.10,370.00,46.71,-33.59,
2022/05/26 22:29:36,987.37,86.78,13.49,14.00,4.08,371.00,46.74,-33.74,
2022/05/26 22:34:36,987.23,86.56,13.60,14.25,4.11,370.00,46.55,-34.09,
2022/05/26 22:39:36,987.21,85.71,14.13,14.75,4.11,371.00,46.68,-34.02,
2022/05/26 22:44:36,987.12,85.19,14.42,15.00,4.10,374.00,46.62,-34.08,
2022/05/26 22:49:36,987.05,84.65,14.69,15.25,4.10,368.00,45.83,-33.62,
2022/05/26 22:54:36,986.98,83.45,15.21,15.75,4.04,370.00,45.71,-34.09,
2022/05/26 22:59:36,987.03,82.85,15.33,16.00,4.10,369.00,46.40,-33.62,
2022/05/26 23:04:36,986.96,83.82,14.77,15.50,4.03,371.00,46.64,-33.55,
2022/05/26 23:09:36,987.00,85.16,14.01,14.50,4.10,369.00,46.64,-33.72,
2022/05/26 23:14:36,986.87,86.19,13.42,14.00,4.10,371.00,46.16,-34.09,
2022/05/26 23:19:36,986.92,87.18,13.06,13.75,4.09,372.00,45.96,-34.05,
2022/05/26 23:24:36,986.91,88.24,12.87,13.50,4.10,370.00,46.60,-34.21,
2022/05/26 23:29:36,986.92,89.00,12.75,13.25,4.08,370.00,45.31,-33.94,
2022/05/26 23:34:36,986.99,89.46,12.74,13.25,4.11,372.00,46.64,-33.37,
2022/05/26 23:39:36,986.95,89.56,12.75,13.25,4.10,370.00,45.81,-33.76,
2022/05/26 23:44:36,987.04,89.75,12.71,13.25,4.09,360.00,46.44,-34.03,
2022/05/26 23:49:36,987.16,89.99,12.68,13.25,4.10,370.00,46.45,-33.50,
2022/05/26 23:54:36,987.18,90.13,12.64,13.25,4.06,368.00,46.76,-34.18,
2022/05/26 23:59:36,987.25,90.36,12.59,13.25,4.10,371.00,46.63,-34.02,
2022/05/27 00:04:36,987.37,90.52,12.51,13.00,4.10,370.00,46.97,-33.73,
2022/05/27 00:09:36,987.34,90.78,12.41,13.00,4.10,364.00,46.69,-33.44,
2022/05/27 00:14:36,987.41,91.03,12.35,13.00,4.10,371.00,45.59,-34.25,
2022/05/27 00:19:36,987.29,91.05,12.38,13.00,4.10,370.00,46.51,-34.14,
2022/05/27 00:24:36,987.32,90.95,12.44,13.00,4.10,374.00,46.31,-33.30,
2022/05/27 00:29:36,987.36,90.73,12.54,13.00,4.02,374.00,46.47,-34.17,
2022/05/27 00:34:36,987.33,90.40,12.72,13.50,4.10,369.00,45.60,-33.67,
2022/05/27 00:39:36,987.33,89.96,12.96,13.50,4.02,374.00,46.40,-33.73,
2022/05/27 00:44:36,987.28,89.43,13.17,13.75,4.10,372.00,46.64,-33.78,
2022/05/27 00:49:36,987.27,89.21,13.21,13.75,4.06,360.00,46.96,-33.46,
2022/05/27 00:54:36,987.16,89.01,13.25,13.75,4.07,370.00,46.55,-33.53,
2022/05/27 00:59:36,987.12,88.88,13.21,13.75,4.10,371.00,46.55,-33.30,
2022/05/27 01:04:36,987.17,89.00,13.04,13.50,4.10,370.00,46.74,-33.74,
2022/05/27 01:09:36,987.12,89.36,12.75,13.25,4.06,369.00,46.14,-33.70,
2022/05/27 01:14:36,987.16,89.91,12.45,13.00,4.10,370.00,46.42,-33.83,
2022/05/27 01:19:36,987.14,90.41,12.13,12.75,4.08,372.00,46.15,-33.71,
2022/05/27 01:24:36,987.21,90.78,11.82,12.25,4.07,371.00,46.84,-33.86,
2022/05/27 01:29:36,987.24,91.11,11.52,12.00,4.10,371.00,46.79,-33.86,
2022/05/27 01:34:36,987.25,91.70,11.28,11.75,4.10,370.00,46.53,-33.08,
2022/05/27 01:39:36,987.41,92.36,11.12,11.75,4.10,369.00,45.89,-33.54,
2022/05/27 01:44:36,987.38,93.01,11.02,11.50,4.10,371.00,46.76,-33.84,
2022/05/27 01:49:36,987.37,93.51,10.95,11.50,4.10,371.00,46.47,-33.90,
2022/05/27 01:54:36,987.40,93.86,10.90,11.50,4.10,371.00,47.30,-34.03,
