Lib = 0.3.0 SN = 4D02-0001-0036-0000
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Range [cm],Pitch [deg],Roll [deg],
2021/08/18 20:55:54,992.84,41.52,34.56,34.50,4.74,367.00,91.49,45.80,
2021/08/18 21:00:53,992.89,44.71,33.84,34.00,4.77,369.00,91.31,45.71,
2021/08/18 21:05:53,992.93,45.94,33.49,33.75,4.76,372.00,91.38,45.52,
2021/08/18 21:10:53,992.81,46.75,33.26,33.50,4.77,369.00,91.34,46.07,
2021/08/18 21:15:53,992.82,46.70,33.42,33.50,4.67,371.00,91.35,46.05,
2021/08/18 21:20:53,992.90,42.64,35.40,35.50,4.76,363.00,91.35,45.59,
2021/08/18 21:25:53,992.95,32.51,41.10,41.75,4.74,369.00,91.55,45.89,
2021/08/18 21:30:53,992.96,29.58,43.27,44.00,4.74,370.00,90.84,45.93,
2021/08/18 21:35:53,992.65,35.05,39.83,40.00,4.65,375.00,91.34,45.53,
2021/08/18 21:40:53,992.51,40.55,36.53,36.75,4.65,368.00,91.77,45.97,
2021/08/18 21:45:53,992.65,43.81,34.51,34.75,4.67,372.00,91.45,45.97,
2021/08/18 21:50:53,992.54,45.36,33.49,33.50,4.74,368.00,91.27,45.91,
2021/08/18 21:55:53,992.53,46.44,32.71,32.75,4.77,374.00,91.53,46.10,
2021/08/18 22:00:53,992.53,47.41,31.97,32.00,4.73,370.00,91.78,45.97,
2021/08/18 22:05:53,992.56,48.28,31.34,31.50,4.75,365.00,91.51,46.05,
2021/08/18 22:10:53,992.69,48.88,30.86,31.00,4.74,367.00,91.54,46.02,
2021/08/18 22:15:53,992.70,49.19,30.54,30.75,4.75,375.00,91.82,45.82,
2021/08/18 22:20:53,992.78,49.50,30.14,30.25,4.75,376.00,92.24,45.70,
2021/08/18 22:25:53,992.76,49.87,29.78,30.00,4.73,369.00,92.27,45.88,
2021/08/18 22:30:53,992.69,50.11,29.46,29.75,4.64,375.00,91.47,46.16,
2021/08/18 22:35:53,992.66,50.36,29.16,29.50,4.75,369.00,92.37,45.55,
2021/08/18 22:40:53,992.66,50.58,28.89,29.25,4.74,372.00,91.52,45.93,
2021/08/18 22:45:53,992.64,50.79,28.62,28.75,4.78,366.00,91.32,45.66,
2021/08/18 22:50:53,992.69,50.91,28.39,28.50,4.77,372.00,91.28,45.75,
2021/08/18 22:55:53,992.60,51.03,28.16,28.50,4.75,371.00,91.30,45.88,
2021/08/18 23:00:53,992.58,51.18,27.95,28.00,4.67,372.00,91.02,45.82,
2021/08/18 23:05:53,992.59,51.33,27.72,28.00,4.75,370.00,91.49,45.91,
2021/08/18 23:10:53,992.69,51.53,27.47,27.75,4.77,368.00,92.00,46.14,
2021/08/18 23:15:53,992.74,51.74,27.23,27.50,4.76,363.00,92.21,45.88,
2021/08/18 23:20:53,992.64,51.96,26.93,27.25,4.76,367.00,91.18,45.99,
2021/08/18 23:25:53,992.60,52.22,26.66,26.75,4.76,368.00,91.76,46.24,
2021/08/18 23:30:53,992.67,52.43,26.43,26.75,4.78,370.00,91.91,46.04,
2021/08/18 23:35:53,992.70,52.62,26.21,26.50,4.75,372.00,91.29,45.83,
2021/08/18 23:40:53,992.69,52.80,25.99,26.25,4.74,372.00,91.20,46.23,
2021/08/18 23:45:53,992.72,53.04,25.74,26.00,4.76,367.00,91.88,46.30,
2021/08/18 23:50:53,992.67,53.24,25.50,25.75,4.76,369.00,92.18,45.86,
2021/08/18 23:55:53,992.70,53.45,25.26,25.50,4.74,372.00,92.23,46.57,
2021/08/19 00:00:53,992.77,53.68,25.05,25.25,4.76,374.00,91.32,46.13,
2021/08/19 00:05:53,992.70,53.87,24.83,25.00,4.77,364.00,91.34,46.48,
2021/08/19 00:10:53,992.85,54.12,24.57,24.75,4.76,365.00,92.36,45.92,
2021/08/19 00:15:53,992.83,54.37,24.33,24.50,4.75,368.00,91.53,45.88,
2021/08/19 00:20:53,992.83,54.59,24.07,24.25,4.76,370.00,91.56,46.31,
2021/08/19 00:25:53,992.80,54.84,23.81,24.00,4.69,368.00,91.16,45.91,
2021/08/19 00:30:53,992.77,55.09,23.54,23.75,4.64,371.00,92.50,46.25,
2021/08/19 00:35:53,992.74,55.34,23.27,23.50,4.65,366.00,91.56,45.36,
2021/08/19 00:40:53,992.96,55.57,23.04,23.25,4.77,364.00,91.88,46.97,
2021/08/19 00:45:53,992.88,55.78,22.79,23.00,4.75,371.00,92.78,45.97,
2021/08/19 00:50:53,992.93,55.98,22.57,22.75,4.75,369.00,91.92,45.52,
2021/08/19 00:55:53,992.92,56.16,22.35,22.50,4.76,364.00,92.22,46.28,
2021/08/19 01:00:53,992.93,56.37,22.10,22.50,4.76,369.00,91.45,45.97,
2021/08/19 01:05:53,992.99,56.57,21.88,22.25,4.76,371.00,91.20,45.54,
2021/08/19 01:10:53,993.07,56.72,21.67,22.00,4.77,371.00,92.31,46.32,
2021/08/19 01:15:53,993.10,56.86,21.46,21.75,4.76,370.00,91.94,46.86,
2021/08/19 01:20:53,993.20,56.98,21.28,21.50,4.69,370.00,92.25,45.87,
2021/08/19 01:25:53,993.18,57.07,21.10,21.50,4.76,370.00,91.52,45.79,
2021/08/19 01:30:53,993.18,57.17,20.94,21.25,4.76,371.00,92.29,45.94,
2021/08/19 01:35:53,993.22,57.24,20.79,21.00,4.75,374.00,92.57,45.71,
2021/08/19 01:40:53,993.28,57.32,20.63,21.00,4.76,370.00,92.00,45.86,
2021/08/19 01:45:53,993.39,57.40,20.49,20.75,4.76,367.00,92.33,46.02,
2021/08/19 01:50:53,993.31,57.47,20.35,20.50,4.76,364.00,91.94,46.30,
2021/08/19 01:55:53,993.45,57.52,20.23,20.50,4.76,372.00,92.16,46.11,
2021/08/19 02:00:53,993.55,57.55,20.12,20.25,4.76,368.00,91.93,46.22,
2021/08/19 02:05:53,993.56,57.59,20.01,20.25,4.76,367.00,92.45,45.37,
2021/08/19 02:10:53,993.48,57.65,19.88,20.25,4.76,371.00,91.16,45.86,
2021/08/19 02:15:53,993.55,57.71,19.78,20.25,4.77,370.00,92.12,45.47,
2021/08/19 02:20:53,993.58,57.75,19.71,20.00,4.76,361.00,91.67,46.18,
2021/08/19 02:25:53,993.56,57.77,19.63,20.00,4.77,372.00,91.58,46.16,
2021/08/19 02:30:53,993.55,57.82,19.55,19.75,4.76,368.00,91.59,46.22,
2021/08/19 02:35:53,993.66,57.85,19.49,19.75,4.78,368.00,92.38,46.59,
2021/08/19 02:40:53,993.68,57.86,19.44,19.75,4.77,370.00,92.54,46.41,
2021/08/19 02:45:53,993.67,57.85,19.39,19.75,4.75,371.00,92.26,45.70,
2021/08/19 02:50:53,993.71,57.88,19.33,19.50,4.76,374.00,91.78,45.97,
2021/08/19 02:55:53,993.68,57.89,19.28,19.50,4.77,374.00,91.41,46.44,
2021/08/19 03:00:53,993.62,57.92,19.21,19.50,4.78,371.00,91.29,46.27,
2021/08/19 03:05:53,993.67,57.94,19.15,19.50,4.76,372.00,91.45,45.92,
2021/08/19 03:10:53,993.68,57.98,19.05,19.25,4.76,369.00,92.00,46.03,
2021/08/19 03:15:53,993.70,58.09,18.94,19.25,4.77,365.00,92.48,46.38,
2021/08/19 03:20:53,993.77,58.16,18.87,19.25,4.77,366.00,92.54,45.70,
2021/08/19 03:25:53,993.84,58.21,18.81,19.00,4.76,365.00,92.21,46.19,
2021/08/19 03:30:53,993.83,58.23,18.76,19.00,4.76,371.00,92.42,46.43,
2021/08/19 03:35:53,993.87,58.28,18.71,19.00,4.77,372.00,92.35,46.06,
2021/08/19 03:40:53,993.80,58.30,18.64,19.00,4.76,368.00,90.96,45.93,
2021/08/19 03:45:53,993.91,58.34,18.56,19.00,4.72,369.00,92.19,46.32,
2021/08/19 03:50:53,993.92,58.41,18.49,18.75,4.77,369.00,92.36,46.38,
2021/08/19 03:55:53,993.83,58.45,18.41,18.75,4.77,371.00,92.32,46.05,
2021/08/19 04:00:53,994.04,58.51,18.31,18.50,4.76,370.00,92.16,46.22,
2021/08/19 04:05:53,994.03,58.59,18.23,18.50,4.77,371.00,92.25,46.71,
2021/08/19 04:10:53,994.00,58.68,18.13,18.50,4.76,371.00,92.09,46.50,
2021/08/19 04:15:53,994.13,58.76,18.04,18.50,4.77,372.00,92.15,45.88,
2021/08/19 04:20:53,994.10,58.83,17.95,18.25,4.64,370.00,92.46,46.15,
2021/08/19 04:25:53,994.16,58.89,17.86,18.25,4.76,374.00,92.17,46.20,
2021/08/19 04:30:53,994.22,58.96,17.79,18.25,4.76,372.00,92.29,46.23,
2021/08/19 04:35:53,994.17,58.99,17.71,18.00,4.76,370.00,92.17,45.69,
2021/08/19 04:40:53,994.18,59.04,17.63,18.00,4.77,376.00,92.07,46.15,
2021/08/19 04:45:53,994.23,59.12,17.56,18.00,4.76,371.00,92.43,45.87,
2021/08/19 04:50:53,994.24,59.16,17.50,17.75,4.77,371.00,92.26,46.49,
2021/08/19 04:55:53,994.26,59.20,17.45,17.75,4.76,358.00,92.16,46.11,
2021/08/19 05:00:53,994.22,59.21,17.38,17.75,4.76,372.00,91.78,45.92,
