Lib = 0.3.0 SN = 4D02-0001-0036-0000
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Range [cm],Pitch [deg],Roll [deg],
2021/08/17 16:03:44,991.03,48.30,28.33,28.25,4.74,368.00,92.16,0.89,
2021/08/17 16:04:00,991.08,47.13,28.72,29.00,4.80,371.00,91.33,0.78,
2021/08/17 16:05:00,991.05,47.20,28.79,29.00,4.82,365.00,91.54,0.86,
2021/08/17 16:06:00,991.04,47.48,28.82,29.25,4.82,371.00,92.09,1.25,
2021/08/17 16:07:00,991.04,47.51,28.94,29.25,4.82,369.00,91.57,0.51,
2021/08/17 16:08:00,991.02,47.28,29.16,29.50,4.80,374.00,92.74,0.69,
2021/08/17 16:09:00,990.98,47.20,29.29,29.75,4.81,370.00,92.11,0.92,
2021/08/17 16:10:00,991.05,46.75,29.63,30.00,4.81,375.00,91.52,0.23,
2021/08/17 16:11:00,990.97,45.83,30.16,30.50,4.82,370.00,91.86,0.46,
2021/08/17 16:12:00,990.96,45.07,30.66,31.00,4.80,366.00,91.35,0.68,
2021/08/17 16:13:00,991.07,44.63,30.98,31.50,4.69,371.00,92.24,0.56,
2021/08/17 16:14:00,990.96,44.59,31.08,31.50,4.80,369.00,91.25,0.74,
2021/08/17 16:15:00,991.02,44.32,31.30,31.75,4.81,375.00,91.82,0.80,
2021/08/17 16:16:00,991.02,44.06,31.50,31.75,4.81,370.00,91.08,0.80,
2021/08/17 16:17:00,991.00,44.05,31.55,32.00,4.81,370.00,91.35,1.02,
2021/08/17 16:18:00,991.06,43.95,31.68,32.00,4.81,374.00,91.58,0.06,
2021/08/17 16:19:00,991.03,44.16,31.60,32.00,4.81,374.00,92.26,0.78,
2021/08/17 16:20:00,991.05,44.43,31.51,32.00,4.81,371.00,92.20,0.52,
2021/08/17 16:21:00,991.02,44.52,31.50,31.75,4.82,368.00,91.55,1.06,
2021/08/17 16:22:00,991.06,44.48,31.57,32.00,4.81,368.00,91.02,0.86,
2021/08/17 16:23:00,990.99,44.42,31.65,32.00,4.81,372.00,91.56,0.51,
2021/08/17 16:24:00,991.09,44.53,31.63,32.00,4.81,370.00,91.50,0.84,
2021/08/17 16:25:00,991.08,44.58,31.64,32.00,4.82,366.00,91.49,0.95,
2021/08/17 16:26:00,991.05,44.85,31.55,32.00,4.82,372.00,91.55,1.32,
2021/08/17 16:27:00,991.06,44.85,31.60,32.00,4.80,367.00,91.29,0.85,
2021/08/17 16:28:00,991.04,44.21,32.00,32.50,4.80,366.00,91.50,1.04,
2021/08/17 16:29:00,991.06,42.56,32.94,33.50,4.80,366.00,91.18,0.57,
2021/08/17 16:30:00,991.05,41.66,33.49,34.00,4.80,372.00,91.23,0.94,
2021/08/17 16:31:00,991.06,41.68,33.56,34.00,4.80,370.00,91.18,0.97,
2021/08/17 16:32:00,991.05,41.27,33.92,34.25,4.80,369.00,91.51,0.52,
2021/08/17 16:33:00,990.98,40.68,34.33,34.75,4.81,362.00,91.36,0.85,
2021/08/17 16:34:00,990.97,39.90,34.87,35.25,4.80,370.00,91.62,1.33,
2021/08/17 16:35:00,991.04,37.78,36.21,36.75,4.81,368.00,91.10,0.64,
2021/08/17 16:36:00,991.04,35.83,37.55,38.25,4.81,374.00,91.56,0.69,
2021/08/17 16:37:00,991.06,35.23,38.05,38.75,4.81,374.00,90.88,0.50,
2021/08/17 16:38:00,991.01,35.12,38.28,38.75,4.80,366.00,91.28,1.01,
2021/08/17 16:39:00,991.05,35.39,38.25,38.75,4.81,365.00,91.59,0.80,
2021/08/17 16:40:00,991.07,34.82,38.82,39.25,4.81,374.00,92.04,0.76,
2021/08/17 16:41:00,990.97,34.23,39.40,39.75,4.80,362.00,91.52,0.57,
2021/08/17 16:42:00,991.04,35.13,38.97,39.25,4.80,369.00,91.57,0.56,
2021/08/17 16:43:00,991.01,35.15,39.02,39.50,4.80,371.00,91.32,0.77,
2021/08/17 16:44:00,991.00,36.38,38.31,38.75,4.81,367.00,91.30,0.51,
2021/08/17 16:45:00,991.00,37.30,37.80,38.00,4.80,370.00,91.30,1.02,
2021/08/17 16:46:00,990.91,38.14,37.33,37.75,4.80,365.00,91.37,0.80,
2021/08/17 16:47:00,990.98,38.89,36.91,37.25,4.80,375.00,91.18,0.51,
2021/08/17 16:48:00,990.93,39.52,36.56,36.75,4.81,369.00,91.58,0.68,
2021/08/17 16:49:00,990.98,39.50,36.58,37.00,4.81,367.00,91.07,0.85,
2021/08/17 16:50:00,990.90,38.99,36.87,37.25,4.63,369.00,91.62,0.64,
2021/08/17 16:51:00,990.91,39.28,36.69,37.00,4.79,368.00,91.51,0.62,
2021/08/17 16:52:00,990.90,39.29,36.71,37.00,4.64,374.00,91.06,0.11,
2021/08/17 16:53:00,990.86,38.57,37.18,37.50,4.81,370.00,90.89,0.95,
2021/08/17 16:54:00,990.88,38.26,37.38,37.75,4.81,371.00,91.59,0.69,
2021/08/17 16:55:00,990.89,37.87,37.65,38.00,4.81,374.00,91.96,1.27,
2021/08/17 16:56:00,990.91,37.76,37.75,38.25,4.80,371.00,91.31,0.23,
2021/08/17 16:57:00,990.88,38.56,37.30,37.50,4.80,374.00,91.83,0.74,
2021/08/17 16:58:00,990.88,37.77,37.86,38.25,4.80,369.00,91.25,1.31,
2021/08/17 16:59:00,990.82,38.03,37.74,38.00,4.79,367.00,91.52,0.57,
2021/08/17 17:00:00,990.82,38.96,37.24,37.50,4.79,369.00,91.45,0.67,
2021/08/17 17:01:00,990.79,39.22,37.10,37.25,4.81,370.00,91.36,0.74,
